Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Pocillopora_meandrina_HIv1___Sc0000020:395351-395774	Cluster_5084	N	51	28	30	43	1
Pocillopora_meandrina_HIv1___Sc0000020:775335-775933	Cluster_5085	N	1	136	5	450	30
Pocillopora_meandrina_HIv1___Sc0000020:775949-776378	Cluster_5086	N	20	65	6	255	2
Pocillopora_meandrina_HIv1___Sc0000020:857382-857811	Cluster_5087	N	273	3	7	17	22
Pocillopora_meandrina_HIv1___Sc0000020:859608-860032	Cluster_5088	N	5	4	10	31	34
Pocillopora_meandrina_HIv1___Sc0000020:869363-870043	Cluster_5089	N	727	215	354	115	34
Pocillopora_meandrina_HIv1___Sc0000020:1057769-1058237	Cluster_5090	N	136	111	69	49	107
Pocillopora_meandrina_HIv1___Sc0000020:1058725-1060128	Cluster_5091	N	2443	3282	2269	2110	881
Pocillopora_meandrina_HIv1___Sc0000020:1061581-1062328	Cluster_5092	N	1471	344	2862	1749	272
Pocillopora_meandrina_HIv1___Sc0000020:1142046-1142570	Cluster_5093	N	172	137	0	33	3
Pocillopora_meandrina_HIv1___Sc0000020:1162645-1163073	Cluster_5094	N	19	12	128	1	1
Pocillopora_meandrina_HIv1___Sc0000020:1409826-1410256	Cluster_5095	N	20	89	24	47	76
Pocillopora_meandrina_HIv1___Sc0000020:1424547-1424963	Cluster_5096	N	0	2	18	3	52
Pocillopora_meandrina_HIv1___Sc0000020:1537018-1537422	Cluster_5097	N	110	0	0	1	0
Pocillopora_meandrina_HIv1___Sc0000020:1665281-1665721	Cluster_5098	N	0	64	0	518	0
Pocillopora_meandrina_HIv1___Sc0000020:1806707-1807115	Cluster_5099	N	9	22	19	22	23
Pocillopora_meandrina_HIv1___Sc0000020:2018664-2019081	Cluster_5100	N	7	25	12	24	53
Pocillopora_meandrina_HIv1___Sc0000020:2137330-2138663	Cluster_5101	N	10614	2508	388	588	1406
Pocillopora_meandrina_HIv1___Sc0000020:2139966-2140397	Cluster_5102	N	240	411	10	0	5
Pocillopora_meandrina_HIv1___Sc0000020:2140982-2141636	Cluster_5103	N	2647	482	10	92	32
Pocillopora_meandrina_HIv1___Sc0000020:2154149-2157219	Cluster_5104	N	2633	1259	817	891	984
Pocillopora_meandrina_HIv1___Sc0000020:2157969-2158803	Cluster_5105	N	597	69	108	120	73
Pocillopora_meandrina_HIv1___Sc0000020:2159004-2159497	Cluster_5106	N	207	0	105	38	7
Pocillopora_meandrina_HIv1___Sc0000020:2162622-2163356	Cluster_5107	N	159	4003	101	32	11
Pocillopora_meandrina_HIv1___Sc0000020:2165991-2166419	Cluster_5108	N	150	20	57	54	5
Pocillopora_meandrina_HIv1___Sc0000020:2167227-2167640	Cluster_5109	N	136	5	46	13	8
Pocillopora_meandrina_HIv1___Sc0000020:2167717-2168861	Cluster_5110	N	604	24	75	40	4
Pocillopora_meandrina_HIv1___Sc0000020:2171481-2173323	Cluster_5111	N	2267	3214	2048	2086	887
Pocillopora_meandrina_HIv1___Sc0000020:2180250-2180666	Cluster_5112	N	99	24	59	32	6
Pocillopora_meandrina_HIv1___Sc0000020:2183526-2183955	Cluster_5113	N	81	16	54	23	5
Pocillopora_meandrina_HIv1___Sc0000020:2184470-2185184	Cluster_5114	N	107	75	226	87	217
Pocillopora_meandrina_HIv1___Sc0000020:2187009-2187437	Cluster_5115	N	155	14	42	29	27
Pocillopora_meandrina_HIv1___Sc0000020:2187597-2188625	Cluster_5116	N	303	30	610	202	75
Pocillopora_meandrina_HIv1___Sc0000020:2193920-2194735	Cluster_5117	N	1997	1744	2319	406	671
Pocillopora_meandrina_HIv1___Sc0000020:2196736-2197517	Cluster_5118	N	235	46	183	70	56
Pocillopora_meandrina_HIv1___Sc0000020:2197561-2199023	Cluster_5119	N	877	272	1067	1395	843
Pocillopora_meandrina_HIv1___Sc0000020:2199973-2200510	Cluster_5120	N	221	42	139	44	74
Pocillopora_meandrina_HIv1___Sc0000020:2200810-2201288	Cluster_5121	N	131	33	107	740	33
Pocillopora_meandrina_HIv1___Sc0000020:2201494-2202081	Cluster_5122	N	107	31	88	68	43
Pocillopora_meandrina_HIv1___Sc0000020:2202498-2202922	Cluster_5123	N	18	11	67	33	8
Pocillopora_meandrina_HIv1___Sc0000020:2203171-2204060	Cluster_5124	N	296	55	242	190	42
Pocillopora_meandrina_HIv1___Sc0000020:2204386-2206467	Cluster_5125	N	6492	1911	3253	2584	2114
Pocillopora_meandrina_HIv1___Sc0000020:2206824-2208628	Cluster_5126	N	202	894	849	873	140
Pocillopora_meandrina_HIv1___Sc0000020:2208662-2209314	Cluster_5127	N	97	191	166	727	168
Pocillopora_meandrina_HIv1___Sc0000020:2210292-2210722	Cluster_5128	N	51	45	56	210	94
Pocillopora_meandrina_HIv1___Sc0000020:2213520-2214635	Cluster_5129	N	313	52	212	500	358
Pocillopora_meandrina_HIv1___Sc0000020:2215350-2215821	Cluster_5130	N	183	44	202	95	40
Pocillopora_meandrina_HIv1___Sc0000020:2215844-2216273	Cluster_5131	N	76	27	97	96	24
Pocillopora_meandrina_HIv1___Sc0000020:2218309-2218724	Cluster_5132	N	69	12	50	26	7
Pocillopora_meandrina_HIv1___Sc0000020:2219673-2220100	Cluster_5133	N	6	4	0	4	72
Pocillopora_meandrina_HIv1___Sc0000020:2222506-2223391	Cluster_5134	N	2404	86	1048	84	152
Pocillopora_meandrina_HIv1___Sc0000020:2223405-2224021	Cluster_5135	N	441	397	797	947	105
Pocillopora_meandrina_HIv1___Sc0000020:2247886-2248414	Cluster_5136	N	140	295	137	294	31
Pocillopora_meandrina_HIv1___Sc0000020:2257511-2258054	Cluster_5137	N	1	3	565	2	2
Pocillopora_meandrina_HIv1___Sc0000020:2259510-2259911	Cluster_5138	N	108	54	8	0	33
Pocillopora_meandrina_HIv1___Sc0000020:2259957-2262435	Cluster_5139	N	1437	419	5240	1007	195
Pocillopora_meandrina_HIv1___Sc0000020:2339084-2339501	Cluster_5140	N	1	381	0	1	32
Pocillopora_meandrina_HIv1___Sc0000020:2449892-2450316	Cluster_5141	N	6	55	17	32	55
Pocillopora_meandrina_HIv1___Sc0000020:2454190-2454610	Cluster_5142	N	28	30	32	18	17
Pocillopora_meandrina_HIv1___Sc0000020:2455027-2455511	Cluster_5143	N	55	128	46	186	267
Pocillopora_meandrina_HIv1___Sc0000020:2557825-2558240	Cluster_5144	N	5	12	4	1	65
Pocillopora_meandrina_HIv1___Sc0000020:2571080-2571510	Cluster_5145	N	202	1388	1013	4332	4087
Pocillopora_meandrina_HIv1___Sc0000020:2582167-2582602	Cluster_5146	N	297	0	0	0	0
Pocillopora_meandrina_HIv1___Sc0000020:2598847-2599327	Cluster_5147	N	193	0	0	929	1013
Pocillopora_meandrina_HIv1___Sc0000020:2609483-2609984	Cluster_5148	N	285	3195	1162	0	5383
Pocillopora_meandrina_HIv1___Sc0000020:2623402-2623828	Cluster_5149	N	27	21	58	37	16
Pocillopora_meandrina_HIv1___Sc0000020:2642180-2642605	Cluster_5150	N	145	250	388	396	248
Pocillopora_meandrina_HIv1___Sc0000020:2644695-2645438	Cluster_5151	N	164	10	55	64	19
Pocillopora_meandrina_HIv1___Sc0000020:2645515-2645926	Cluster_5152	N	99	1	18	24	27
Pocillopora_meandrina_HIv1___Sc0000020:2844026-2845066	Cluster_5153	N	854	466	699	432	39
Pocillopora_meandrina_HIv1___Sc0000020:2848877-2849478	Cluster_5154	N	72	11	120	55	25
Pocillopora_meandrina_HIv1___Sc0000020:2873332-2873762	Cluster_5155	N	2105	2409	2072	7344	2595
Pocillopora_meandrina_HIv1___Sc0000020:2989771-2990214	Cluster_5156	N	0	0	0	0	287
Pocillopora_meandrina_HIv1___Sc0000020:3033990-3034545	Cluster_5157	N	303	1	185	95	28
Pocillopora_meandrina_HIv1___Sc0000020:3036056-3036483	Cluster_5158	N	17	62	15	478	23
Pocillopora_meandrina_HIv1___Sc0000020:3038313-3038790	Cluster_5159	N	3	0	17	385	5
Pocillopora_meandrina_HIv1___Sc0000020:3257820-3258260	Cluster_5160	N	486	333	33	189	30
Pocillopora_meandrina_HIv1___Sc0000020:3808508-3808933	Cluster_5161	N	2	41	32	66	10
Pocillopora_meandrina_HIv1___Sc0000020:3891312-3891737	Cluster_5162	N	8	92	1	6	4
Pocillopora_meandrina_HIv1___Sc0000020:4052858-4053283	Cluster_5163	N	48	9	100	12	8
Pocillopora_meandrina_HIv1___Sc0000020:4152005-4152430	Cluster_5164	N	2	10	2	54	36
Pocillopora_meandrina_HIv1___Sc0000020:4152989-4153419	Cluster_5165	N	63	8	474	8	1
Pocillopora_meandrina_HIv1___Sc0000020:4269388-4269816	Cluster_5166	N	180	5	31	31	51
Pocillopora_meandrina_HIv1___Sc0000020:4295667-4296096	Cluster_5167	N	20	14	135	1	2
Pocillopora_meandrina_HIv1___Sc0000020:4304726-4305153	Cluster_5168	N	9	4	152	20	3
Pocillopora_meandrina_HIv1___Sc0000020:4385019-4385501	Cluster_5169	N	77	3	384	192	28
Pocillopora_meandrina_HIv1___Sc0000020:4408578-4409007	Cluster_5170	N	21	15	137	2	2
Pocillopora_meandrina_HIv1___Sc0000020:4625044-4625487	Cluster_5171	N	17	31	24	69	113
Pocillopora_meandrina_HIv1___Sc0000020:4921931-4922354	Cluster_5172	N	82	11	18	0	3
Pocillopora_meandrina_HIv1___Sc0000020:5066931-5067527	Cluster_5173	N	1263	616	1691	1320	1339
Pocillopora_meandrina_HIv1___Sc0000020:5120302-5120732	Cluster_5174	N	2	407	956	990	112
Pocillopora_meandrina_HIv1___Sc0000020:5121680-5122107	Cluster_5175	N	93	0	1	0	110
Pocillopora_meandrina_HIv1___Sc0000020:5222988-5223470	Cluster_5176	N	6	138	433	22	107
Pocillopora_meandrina_HIv1___Sc0000020:5315836-5316254	Cluster_5177	N	49	27	33	22	25
Pocillopora_meandrina_HIv1___Sc0000020:5453827-5454256	Cluster_5178	N	739	7	545	2	1
Pocillopora_meandrina_HIv1___Sc0000020:5490480-5490905	Cluster_5179	N	53	47	100	19	0
Pocillopora_meandrina_HIv1___Sc0000020:5542041-5542469	Cluster_5180	N	19	34	331	22	3
Pocillopora_meandrina_HIv1___Sc0000020:5542610-5543037	Cluster_5181	N	49	68	0	72	6
Pocillopora_meandrina_HIv1___Sc0000020:5600501-5601310	Cluster_5182	N	33667	75735	9241	20039	16611
Pocillopora_meandrina_HIv1___Sc0000020:5780161-5780592	Cluster_5183	N	1	7	236	3952	1
Pocillopora_meandrina_HIv1___Sc0000020:5821891-5822342	Cluster_5184	N	19	144	162	194	47
Pocillopora_meandrina_HIv1___Sc0000020:5914229-5914659	Cluster_5185	N	0	6	223	11	3
Pocillopora_meandrina_HIv1___Sc0000020:5915276-5915704	Cluster_5186	N	1	13	187	88	1
Pocillopora_meandrina_HIv1___Sc0000020:5931892-5932319	Cluster_5187	N	25	16	132	32	11
Pocillopora_meandrina_HIv1___Sc0000020:5977080-5978357	Cluster_5188	N	539	157	246	420	91
Pocillopora_meandrina_HIv1___Sc0000020:5979221-5979648	Cluster_5189	N	89	16	29	15	7
Pocillopora_meandrina_HIv1___Sc0000020:5979732-5980501	Cluster_5190	N	213	108	86	92	50
Pocillopora_meandrina_HIv1___Sc0000020:5980533-5980960	Cluster_5191	N	112	52	80	30	8
Pocillopora_meandrina_HIv1___Sc0000020:6091599-6092028	Cluster_5192	N	104	18	1	218	64
Pocillopora_meandrina_HIv1___Sc0000020:6480082-6480500	Cluster_5193	N	33	0	52	5	9
Pocillopora_meandrina_HIv1___Sc0000020:6703789-6704210	Cluster_5194	N	1	80	1	2	33
Pocillopora_meandrina_HIv1___Sc0000021:276680-277099	Cluster_5195	N	19	17	2	159	14
Pocillopora_meandrina_HIv1___Sc0000021:324463-324937	Cluster_5196	N	5979	6535	11996	15280	4699
Pocillopora_meandrina_HIv1___Sc0000021:326001-326467	Cluster_5197	N	545	362	790	749	222
Pocillopora_meandrina_HIv1___Sc0000021:326663-327132	Cluster_5198	N	43838	38967	39511	95206	15891
Pocillopora_meandrina_HIv1___Sc0000021:593494-593930	Cluster_5199	N	21	84	27	49	101
Pocillopora_meandrina_HIv1___Sc0000021:596201-596601	Cluster_5200	N	8	20	10	14	55
Pocillopora_meandrina_HIv1___Sc0000021:608438-608851	Cluster_5201	N	10	31	25	34	99
Pocillopora_meandrina_HIv1___Sc0000021:608944-609366	Cluster_5202	N	16	37	31	36	99
Pocillopora_meandrina_HIv1___Sc0000021:758132-758551	Cluster_5203	N	38	586	67	242	2
Pocillopora_meandrina_HIv1___Sc0000021:784913-785341	Cluster_5204	N	5	2	51	76	4
Pocillopora_meandrina_HIv1___Sc0000021:896386-896814	Cluster_5205	N	71	0	25	430	6
Pocillopora_meandrina_HIv1___Sc0000021:975531-975948	Cluster_5206	N	8	25	41	18	141
Pocillopora_meandrina_HIv1___Sc0000021:1005509-1005931	Cluster_5207	N	22	53	56	14	108
Pocillopora_meandrina_HIv1___Sc0000021:1065156-1065872	Cluster_5208	N	54	8	94	169	36
Pocillopora_meandrina_HIv1___Sc0000021:1068005-1068589	Cluster_5209	N	301	3	184	326	93
Pocillopora_meandrina_HIv1___Sc0000021:1068665-1069094	Cluster_5210	N	133	10	85	381	39
Pocillopora_meandrina_HIv1___Sc0000021:1499718-1500140	Cluster_5211	N	157	212	231	304	326
Pocillopora_meandrina_HIv1___Sc0000021:1662373-1662792	Cluster_5212	N	24	18	1	36	33
Pocillopora_meandrina_HIv1___Sc0000021:1663270-1663727	Cluster_5213	N	2135	415	1600	897	160
Pocillopora_meandrina_HIv1___Sc0000021:1663833-1664360	Cluster_5214	N	306	196	238	453	127
Pocillopora_meandrina_HIv1___Sc0000021:1708235-1708668	Cluster_5215	N	12	39	22	56	61
Pocillopora_meandrina_HIv1___Sc0000021:1803561-1803989	Cluster_5216	N	35	78	310	1	0
Pocillopora_meandrina_HIv1___Sc0000021:1805532-1805954	Cluster_5217	N	0	154	0	0	7
Pocillopora_meandrina_HIv1___Sc0000021:1807854-1808415	Cluster_5218	N	894	15	18	1	191
Pocillopora_meandrina_HIv1___Sc0000021:1810323-1810759	Cluster_5219	N	496	6	559	1	4
Pocillopora_meandrina_HIv1___Sc0000021:1814973-1815409	Cluster_5220	N	366	2	427	1	42
Pocillopora_meandrina_HIv1___Sc0000021:1823807-1824425	Cluster_5221	N	335	5	4	175	5
Pocillopora_meandrina_HIv1___Sc0000021:1906907-1907334	Cluster_5222	N	11	0	112	1	1
Pocillopora_meandrina_HIv1___Sc0000021:2036658-2037086	Cluster_5223	N	0	0	0	154	0
Pocillopora_meandrina_HIv1___Sc0000021:2067955-2068642	Cluster_5224	N	302	20	614	268	82
Pocillopora_meandrina_HIv1___Sc0000021:2342535-2343348	Cluster_5225	N	96	15	136	152	69
Pocillopora_meandrina_HIv1___Sc0000021:2484436-2485055	Cluster_5226	N	247	0	174	303	12
Pocillopora_meandrina_HIv1___Sc0000021:2487317-2487747	Cluster_5227	N	1	167	200	483	0
Pocillopora_meandrina_HIv1___Sc0000021:2598246-2598676	Cluster_5228	N	100	7	77	400	55
Pocillopora_meandrina_HIv1___Sc0000021:2598796-2599327	Cluster_5229	N	194	7	121	280	46
Pocillopora_meandrina_HIv1___Sc0000021:2601469-2601896	Cluster_5230	N	10	2	54	60	9
Pocillopora_meandrina_HIv1___Sc0000021:2602529-2602956	Cluster_5231	N	0	9	28	35	3
Pocillopora_meandrina_HIv1___Sc0000021:2907106-2907527	Cluster_5232	N	7	57	24	37	14
Pocillopora_meandrina_HIv1___Sc0000021:2924427-2924957	Cluster_5233	N	151	210	309	200	325
Pocillopora_meandrina_HIv1___Sc0000021:3151853-3152286	Cluster_5234	N	0	6	0	300	0
Pocillopora_meandrina_HIv1___Sc0000021:3254633-3255050	Cluster_5235	N	125	47	0	18	17
Pocillopora_meandrina_HIv1___Sc0000021:3261370-3262004	Cluster_5236	N	499	199	244	725	0
Pocillopora_meandrina_HIv1___Sc0000021:3399015-3399445	Cluster_5237	N	686	12	0	0	11
Pocillopora_meandrina_HIv1___Sc0000021:3402070-3402499	Cluster_5238	N	52	0	33	9	7
Pocillopora_meandrina_HIv1___Sc0000021:3403523-3403994	Cluster_5239	N	25207	20632	35967	37199	5701
Pocillopora_meandrina_HIv1___Sc0000021:3412237-3413046	Cluster_5240	N	8	7	54	237	78
Pocillopora_meandrina_HIv1___Sc0000021:3413092-3413513	Cluster_5241	N	0	3	91	1	62
Pocillopora_meandrina_HIv1___Sc0000021:3414488-3414911	Cluster_5242	N	0	0	57	0	47
Pocillopora_meandrina_HIv1___Sc0000021:3414924-3415341	Cluster_5243	N	1	64	64	32	4
Pocillopora_meandrina_HIv1___Sc0000021:3418513-3419451	Cluster_5244	N	3302	1374	360	4397	1334
Pocillopora_meandrina_HIv1___Sc0000021:3422717-3423187	Cluster_5245	N	3385	4156	3707	5887	1111
Pocillopora_meandrina_HIv1___Sc0000021:3426420-3426907	Cluster_5246	N	284	212	304	301	354
Pocillopora_meandrina_HIv1___Sc0000021:3428560-3429035	Cluster_5247	N	5113	3846	12613	7749	1967
Pocillopora_meandrina_HIv1___Sc0000021:3460874-3461301	Cluster_5248	N	152	0	5	4	1
Pocillopora_meandrina_HIv1___Sc0000021:3462997-3463468	Cluster_5249	N	3432	1651	1034	1251	205
Pocillopora_meandrina_HIv1___Sc0000021:4157525-4157952	Cluster_5250	N	0	76	4	97	0
Pocillopora_meandrina_HIv1___Sc0000021:4236543-4236968	Cluster_5251	N	1	5	1	61	39
Pocillopora_meandrina_HIv1___Sc0000021:4328885-4329595	Cluster_5252	N	358	259	305	198	21
Pocillopora_meandrina_HIv1___Sc0000021:4351817-4351909	Cluster_5253	Y	53	26	35	25	24
Pocillopora_meandrina_HIv1___Sc0000021:4582089-4582510	Cluster_5254	N	15	26	0	109	0
Pocillopora_meandrina_HIv1___Sc0000021:4665570-4665991	Cluster_5255	N	91	4	55	31	0
Pocillopora_meandrina_HIv1___Sc0000021:4684925-4685354	Cluster_5256	N	0	1	0	83	0
Pocillopora_meandrina_HIv1___Sc0000021:4711499-4711914	Cluster_5257	N	6	24	10	15	65
Pocillopora_meandrina_HIv1___Sc0000021:4905508-4906190	Cluster_5258	N	1314	203	2757	48	8
Pocillopora_meandrina_HIv1___Sc0000021:5105603-5106129	Cluster_5259	N	222	49	6	491	13
Pocillopora_meandrina_HIv1___Sc0000021:5110514-5110941	Cluster_5260	N	0	0	72	0	1
Pocillopora_meandrina_HIv1___Sc0000021:5129429-5129855	Cluster_5261	N	5	24	23	42	6
Pocillopora_meandrina_HIv1___Sc0000021:5184497-5184901	Cluster_5262	N	0	16	27	10	28
Pocillopora_meandrina_HIv1___Sc0000021:5199336-5199754	Cluster_5263	N	100	34	35	7	11
Pocillopora_meandrina_HIv1___Sc0000021:5275554-5275969	Cluster_5264	N	160	3	31	22	4
Pocillopora_meandrina_HIv1___Sc0000021:5276833-5277938	Cluster_5265	N	64097	6619	25437	6805	4950
Pocillopora_meandrina_HIv1___Sc0000021:5278062-5278492	Cluster_5266	N	168	30	28	19	9
Pocillopora_meandrina_HIv1___Sc0000021:5306354-5306783	Cluster_5267	N	552	79	268	215	89
Pocillopora_meandrina_HIv1___Sc0000021:5319271-5319710	Cluster_5268	N	118	126	110	81	34
Pocillopora_meandrina_HIv1___Sc0000021:5329303-5329729	Cluster_5269	N	98	0	2	1	3
Pocillopora_meandrina_HIv1___Sc0000021:5602206-5603069	Cluster_5270	N	0	47	1	2086	0
Pocillopora_meandrina_HIv1___Sc0000021:5603857-5604284	Cluster_5271	N	5	9	1	257	0
Pocillopora_meandrina_HIv1___Sc0000021:5605710-5606138	Cluster_5272	N	0	0	0	183	1
Pocillopora_meandrina_HIv1___Sc0000021:5607117-5607544	Cluster_5273	N	0	30	0	111	0
Pocillopora_meandrina_HIv1___Sc0000021:5659494-5659922	Cluster_5274	N	113	32	39	26	30
Pocillopora_meandrina_HIv1___Sc0000021:5770832-5771370	Cluster_5275	N	171	521	339	1108	1282
Pocillopora_meandrina_HIv1___Sc0000021:5811526-5811954	Cluster_5276	N	11	36	71	72	68
Pocillopora_meandrina_HIv1___Sc0000021:5973937-5974361	Cluster_5277	N	3	11	1	56	17
Pocillopora_meandrina_HIv1___Sc0000021:6041010-6041436	Cluster_5278	N	0	35	0	0	131
Pocillopora_meandrina_HIv1___Sc0000021:6107460-6107961	Cluster_5279	N	0	1	494	7	0
Pocillopora_meandrina_HIv1___Sc0000021:6116528-6116933	Cluster_5280	N	26	3	1	92	1
Pocillopora_meandrina_HIv1___Sc0000021:6143465-6143889	Cluster_5281	N	8	4	1	72	0
Pocillopora_meandrina_HIv1___Sc0000021:6157720-6158163	Cluster_5282	N	111	46	49	289	3
Pocillopora_meandrina_HIv1___Sc0000021:6160724-6161150	Cluster_5283	N	20	118	25	4	4
Pocillopora_meandrina_HIv1___Sc0000021:6165598-6166346	Cluster_5284	N	125	199	35	495	49
Pocillopora_meandrina_HIv1___Sc0000021:6166614-6167650	Cluster_5285	N	194	358	69	163	61
Pocillopora_meandrina_HIv1___Sc0000021:6171648-6172089	Cluster_5286	N	170	23	54	65	38
Pocillopora_meandrina_HIv1___Sc0000021:6172139-6172588	Cluster_5287	N	240	21	93	133	27
Pocillopora_meandrina_HIv1___Sc0000021:6173344-6174077	Cluster_5288	N	197	29	96	86	57
Pocillopora_meandrina_HIv1___Sc0000021:6181743-6182314	Cluster_5289	N	283	105	5	183	35
Pocillopora_meandrina_HIv1___Sc0000021:6183967-6184395	Cluster_5290	N	188	81	201	12	18
Pocillopora_meandrina_HIv1___Sc0000021:6186416-6186959	Cluster_5291	N	114	51	40	106	9
Pocillopora_meandrina_HIv1___Sc0000021:6188190-6189031	Cluster_5292	N	201	70	60	50	16
Pocillopora_meandrina_HIv1___Sc0000021:6192308-6193276	Cluster_5293	N	4078	1680	8	1162	288
Pocillopora_meandrina_HIv1___Sc0000021:6200869-6201444	Cluster_5294	N	218	35	63	88	30
Pocillopora_meandrina_HIv1___Sc0000021:6201989-6202417	Cluster_5295	N	24	137	35	11	298
Pocillopora_meandrina_HIv1___Sc0000021:6211840-6212267	Cluster_5296	N	82	21	23	27	12
Pocillopora_meandrina_HIv1___Sc0000021:6214988-6215440	Cluster_5297	N	208	24	73	82	26
Pocillopora_meandrina_HIv1___Sc0000021:6215616-6216857	Cluster_5298	N	931	811	6874	2314	54
Pocillopora_meandrina_HIv1___Sc0000021:6219623-6220590	Cluster_5299	N	8463	1975	5069	8291	4429
Pocillopora_meandrina_HIv1___Sc0000021:6220618-6221308	Cluster_5300	N	59	29	28	307	110
Pocillopora_meandrina_HIv1___Sc0000021:6221535-6221964	Cluster_5301	N	85	274	24	30	4
Pocillopora_meandrina_HIv1___Sc0000021:6222052-6222481	Cluster_5302	N	232	484	22	23	10
Pocillopora_meandrina_HIv1___Sc0000021:6223462-6223892	Cluster_5303	N	73	16	35	85	16
Pocillopora_meandrina_HIv1___Sc0000021:6226710-6227744	Cluster_5304	N	7499	3045	3880	3392	820
Pocillopora_meandrina_HIv1___Sc0000021:6227824-6228249	Cluster_5305	N	87	21	62	48	11
Pocillopora_meandrina_HIv1___Sc0000021:6228305-6229009	Cluster_5306	N	2069	434	1825	762	321
Pocillopora_meandrina_HIv1___Sc0000021:6229282-6231268	Cluster_5307	N	766	366	2556	341	207
Pocillopora_meandrina_HIv1___Sc0000021:6232086-6233002	Cluster_5308	N	298	63	214	110	51
Pocillopora_meandrina_HIv1___Sc0000021:6485121-6485533	Cluster_5309	N	77	45	6	71	4
Pocillopora_meandrina_HIv1___Sc0000021:6485782-6486190	Cluster_5310	N	80	29	59	20	9
Pocillopora_meandrina_HIv1___Sc0000021:6486565-6486991	Cluster_5311	N	138	65	46	20	20
Pocillopora_meandrina_HIv1___Sc0000021:6487009-6487615	Cluster_5312	N	1298	275	26	2	3
Pocillopora_meandrina_HIv1___Sc0000021:6488373-6489644	Cluster_5313	N	1034	156	204	1437	64
Pocillopora_meandrina_HIv1___Sc0000022:149414-149839	Cluster_5314	N	11	3	3	100	2
Pocillopora_meandrina_HIv1___Sc0000022:155777-156215	Cluster_5315	N	45	14	67	70	7
Pocillopora_meandrina_HIv1___Sc0000022:158075-158499	Cluster_5316	N	66	105	4	0	2
Pocillopora_meandrina_HIv1___Sc0000022:159825-160249	Cluster_5317	N	130	135	1	0	2
Pocillopora_meandrina_HIv1___Sc0000022:160655-161078	Cluster_5318	N	30	163	2	0	4
Pocillopora_meandrina_HIv1___Sc0000022:162307-162736	Cluster_5319	N	5	85	1	0	3
Pocillopora_meandrina_HIv1___Sc0000022:282851-283277	Cluster_5320	N	0	0	107	0	0
Pocillopora_meandrina_HIv1___Sc0000022:318503-318947	Cluster_5321	N	12	13	14	460	37
Pocillopora_meandrina_HIv1___Sc0000022:554095-554522	Cluster_5322	N	154	68	17	14	9
Pocillopora_meandrina_HIv1___Sc0000022:554717-555134	Cluster_5323	N	16	3	0	196	2
Pocillopora_meandrina_HIv1___Sc0000022:555710-556633	Cluster_5324	N	190	70	11	506	13
Pocillopora_meandrina_HIv1___Sc0000022:556708-557595	Cluster_5325	N	755	168	65	82	125
Pocillopora_meandrina_HIv1___Sc0000022:557670-558303	Cluster_5326	N	1319	108	135	164	9
Pocillopora_meandrina_HIv1___Sc0000022:559206-559633	Cluster_5327	N	18	0	6	104	7
Pocillopora_meandrina_HIv1___Sc0000022:561152-562462	Cluster_5328	N	136	21	4988	3899	320
Pocillopora_meandrina_HIv1___Sc0000022:568214-568905	Cluster_5329	N	606	69	290	19	75
Pocillopora_meandrina_HIv1___Sc0000022:569073-569951	Cluster_5330	N	532	82	173	10	145
Pocillopora_meandrina_HIv1___Sc0000022:570071-571207	Cluster_5331	N	760	79	302	24	257
Pocillopora_meandrina_HIv1___Sc0000022:571607-572036	Cluster_5332	N	51	7	113	5	34
Pocillopora_meandrina_HIv1___Sc0000022:572404-574176	Cluster_5333	N	2643	973	2106	2333	534
Pocillopora_meandrina_HIv1___Sc0000022:574230-575304	Cluster_5334	N	2498	698	2250	2454	611
Pocillopora_meandrina_HIv1___Sc0000022:579552-579977	Cluster_5335	N	4	10	0	55	35
Pocillopora_meandrina_HIv1___Sc0000022:583226-583653	Cluster_5336	N	132	18	15	39	16
Pocillopora_meandrina_HIv1___Sc0000022:591919-593905	Cluster_5337	N	1961	716	852	1043	382
Pocillopora_meandrina_HIv1___Sc0000022:595322-596514	Cluster_5338	N	762	461	333	954	688
Pocillopora_meandrina_HIv1___Sc0000022:601615-602415	Cluster_5339	N	135	70	359	487	122
Pocillopora_meandrina_HIv1___Sc0000022:602632-605304	Cluster_5340	N	469	428	1571	1984	452
Pocillopora_meandrina_HIv1___Sc0000022:609873-610284	Cluster_5341	N	9	27	82	2	31
Pocillopora_meandrina_HIv1___Sc0000022:612083-612568	Cluster_5342	N	209	8	131	2	49
Pocillopora_meandrina_HIv1___Sc0000022:613100-614026	Cluster_5343	N	549	392	846	657	171
Pocillopora_meandrina_HIv1___Sc0000022:620408-621672	Cluster_5344	N	6	60	485	476	281
Pocillopora_meandrina_HIv1___Sc0000022:628295-628714	Cluster_5345	N	0	5	141	0	0
Pocillopora_meandrina_HIv1___Sc0000022:629958-630527	Cluster_5346	N	2	71	269	2	8
Pocillopora_meandrina_HIv1___Sc0000022:635879-636302	Cluster_5347	N	7	8	71	15	12
