"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","given_miRNA_name"
"Cluster_796","Peve_00035464",0.898740270652305,0.288966974174018,0.978262075707395,157,-20.03,"2 19","76 100",20,"75.00%","75.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00036031",0.898740270652305,0.288966974174018,0.978262075707395,168,-21.86,"2 21","863 884",19,"73.68%","84.21%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00037453",-0.900490946237669,0.286414720533626,0.978262075707395,151,-33.18,"2 21","208 238",28,"64.29%","64.29%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00037453",-0.900490946237669,0.286414720533626,0.978262075707395,151,-33.18,"2 21","346 376",28,"64.29%","64.29%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00037453",-0.900490946237669,0.286414720533626,0.978262075707395,151,-33.18,"2 21","484 514",28,"64.29%","64.29%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00037453",-0.900490946237669,0.286414720533626,0.978262075707395,151,-33.18,"2 21","622 652",28,"64.29%","64.29%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00037453",-0.900490946237669,0.286414720533626,0.978262075707395,151,-33.18,"2 21","70 100",28,"64.29%","64.29%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00037453",-0.900490946237669,0.286414720533626,0.978262075707395,151,-33.18,"2 21","760 790",28,"64.29%","64.29%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00037453",-0.900490946237669,0.286414720533626,0.978262075707395,151,-33.18,"2 21","898 928",28,"64.29%","64.29%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00038204",NA,NA,NA,164,-23.07,"2 21","673 694",19,"73.68%","78.95%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00038127",-0.650395549371734,0.549206319529226,0.978262075707395,159,-27.28,"2 21","502 524",20,"70.00%","80.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00038286",0.986412204693695,0.10506609885677,0.978262075707395,162,-25.27,"2 15","824 845",13,"92.31%","92.31%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00038287",NA,NA,NA,162,-25.27,"2 15","824 845",13,"92.31%","92.31%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00038623",-0.956003424309392,0.189543916240944,0.978262075707395,156,-24.39,"2 20","710 731",19,"73.68%","84.21%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00038622",-0.829106154727612,0.377699692492649,0.978262075707395,156,-24.39,"2 20","170 191",19,"73.68%","84.21%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00036964",0.997077513398696,0.0486829862370013,0.94805481250488,151,-20.54,"2 21","403 428",23,"60.87%","73.91%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00038826",-0.713259834561872,0.49443591983631,0.978262075707395,167,-24.54,"2 20","607 628",18,"77.78%","83.33%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00039162",-0.923096672193702,0.251299141778145,0.978262075707395,155,-20.56,"2 21","519 537",19,"73.68%","84.21%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00039279",0.898740270652305,0.288966974174018,0.978262075707395,163,-28.8,"2 21","729 755",24,"70.83%","75.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00039481",0.00253724110179138,0.998384740414269,0.999661203410867,160,-23.9,"2 21","629 650",19,"68.42%","78.95%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00039639",NA,NA,NA,164,-23.77,"2 21","787 808",19,"73.68%","78.95%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00039614",0.944095651908951,0.21387608332111,0.978262075707395,155,-20.14,"2 12","896 917",10,"100.00%","100.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00039877",0.806646716344191,0.402560127767647,0.978262075707395,158,-20.16,"2 16","94 116",15,"86.67%","86.67%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00039879",-0.99253307716016,0.077846046301011,0.978262075707395,166,-26.33,"2 21","209 232",21,"76.19%","85.71%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00040443",-0.995982916004459,0.0570815907430698,0.978262075707395,160,-24.97,"2 13","143 164",11,"100.00%","100.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00040753",-0.547882724241639,0.630868000938764,0.978262075707395,156,-22.55,"2 14","28 50",13,"92.31%","92.31%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00040823",NA,NA,NA,158,-22.7,"2 18","292 311",16,"81.25%","87.50%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00041158",0.952970333802886,0.196018922619321,0.978262075707395,153,-21.83,"2 21","222 243",20,"75.00%","75.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00041960",0.0183046244356579,0.98834626331461,0.999448381576871,152,-20.11,"2 14","944 967",14,"85.71%","85.71%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00042317",NA,NA,NA,163,-21.93,"2 16","954 975",14,"85.71%","92.86%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00042625",NA,NA,NA,154,-21.52,"2 20","680 702",19,"73.68%","73.68%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043018",0.0676364245019842,0.956908417067613,0.999448381576871,161,-25.96,"2 21","166 187",20,"80.00%","80.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043015",0.982168935705027,0.1204013070498,0.978262075707395,147,-25.67,"2 20","301 322",18,"61.11%","72.22%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043222",NA,NA,NA,147,-21.53,"2 21","120 144",22,"63.64%","68.18%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043318",0.983568287718476,0.115566780535706,0.978262075707395,158,-22.14,"2 21","524 544",19,"73.68%","78.95%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043371",0.665783729845509,0.536194676320856,0.978262075707395,161,-21.33,"2 19","732 754",18,"77.78%","83.33%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043394",0.692159209682113,0.513319188991269,0.978262075707395,162,-26.61,"2 21","949 974",23,"73.91%","78.26%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043400",0.993342702749615,0.0734996592067551,0.978262075707395,154,-22.65,"2 21","573 593",19,"73.68%","73.68%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043493",NA,NA,NA,155,-22.52,"2 21","213 235",20,"70.00%","75.00%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00043674",0.898740270652305,0.288966974174018,0.978262075707395,155,-20.75,"2 21","799 817",19,"78.95%","78.95%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00044439",-0.0696341159246929,0.955633640840684,0.999448381576871,150,-20.5,"2 19","20 39",17,"76.47%","82.35%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00044440",-0.923096672193702,0.251299141778145,0.978262075707395,150,-20.5,"2 19","22 41",17,"76.47%","82.35%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00044547",0.850914843530427,0.35209652611451,0.978262075707395,163,-20.15,"2 20","372 393",18,"72.22%","83.33%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00044993",0.898740270652305,0.288966974174018,0.978262075707395,159,-20.87,"2 16","560 581",14,"85.71%","85.71%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00045066",0.586899706326237,0.600696564097838,0.978262075707395,151,-20.53,"2 21","968 993",23,"65.22%","69.57%","5UTR","peve-mir-novel-3"
"Cluster_796","Peve_00045329",-0.778979265609694,0.431475414446202,0.978262075707395,153,-22.45,"2 18","592 613",16,"68.75%","81.25%","5UTR","peve-mir-novel-3"
"Cluster_8634","Peve_00000720",NA,NA,NA,164,-21.28,"2 21","429 450",19,"73.68%","78.95%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00000894",NA,NA,NA,173,-20.44,"2 19","736 759",19,"84.21%","89.47%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00001833",0.982074297069193,0.120721358425151,0.978262075707395,168,-20.25,"2 21","16 37",19,"78.95%","78.95%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00002553",-0.00448412973687288,0.997145304780832,0.999448381576871,159,-20.69,"2 16","722 743",14,"85.71%","85.71%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00003391",0.995758833049273,0.0586531603168953,0.978262075707395,165,-22.16,"2 18","704 725",16,"81.25%","87.50%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00005709",-0.658267160686224,0.542579442905005,0.978262075707395,170,-22.29,"2 15","940 961",13,"100.00%","100.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00005717",NA,NA,NA,170,-22.29,"2 15","57 78",13,"100.00%","100.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00006676",-0.916717689500193,0.261657204475411,0.978262075707395,158,-21.5,"2 16","235 257",15,"86.67%","86.67%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00007589",0.956227319072805,0.189057429551567,0.978262075707395,172,-22.37,"2 17","686 707",15,"86.67%","100.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00007755",0.956227319072805,0.189057429551567,0.978262075707395,164,-23.32,"2 18","345 369",19,"78.95%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00008072",0.999978963950975,0.00412931457669044,0.54328949385489,167,-21.28,"2 18","774 794",16,"87.50%","93.75%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00009250",0.800098464633019,0.409561043744847,0.978262075707395,179,-23.15,"2 20","390 411",18,"88.89%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00009251",0.963191996313888,0.173263650536862,0.978262075707395,179,-23.15,"2 20","390 411",18,"88.89%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00010110",-0.224693088757062,0.855724096218234,0.995934364227446,170,-20.16,"2 21","664 687",21,"80.95%","85.71%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00010162",0.676397727711386,0.527080154818885,0.978262075707395,165,-22.16,"2 18","241 262",16,"81.25%","87.50%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00010516",NA,NA,NA,164,-22.07,"2 18","487 511",19,"78.95%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00011298",0.875128187357574,0.321553886783071,0.978262075707395,171,-21.23,"2 20","724 745",18,"77.78%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00011493",0.966931820966223,0.164173992785996,0.978262075707395,163,-20.62,"2 17","870 892",16,"87.50%","87.50%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00012826",NA,NA,NA,170,-20.13,"2 19","504 525",17,"76.47%","94.12%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00014480",0.857227794418918,0.344369663058383,0.978262075707395,174,-22.15,"2 20","903 925",19,"84.21%","89.47%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00014686",-0.824810788938867,0.382563189779791,0.978262075707395,173,-22.86,"2 19","323 346",19,"84.21%","89.47%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00018658",NA,NA,NA,158,-20.76,"2 21","899 919",19,"73.68%","78.95%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00018391",0.998840656587306,0.030657951802389,0.903929377050813,168,-23.21,"2 18","785 809",19,"84.21%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00020143",0.977029080460152,0.136715948495261,0.978262075707395,173,-21.43,"2 18","898 919",16,"87.50%","93.75%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00020847",-0.486752568097145,0.676362668411313,0.978262075707395,161,-24.23,"2 21","800 821",20,"80.00%","80.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00021332",0.821183376453286,0.386628552051274,0.978262075707395,177,-22.8,"2 20","481 501",18,"88.89%","94.44%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00021923",-0.0155746613973387,0.990084461710154,0.999448381576871,168,-23.5,"2 18","826 848",17,"82.35%","94.12%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00013384",0.999374263578392,0.0225223387727307,0.83828463858421,167,-21.89,"2 21","266 289",21,"76.19%","80.95%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00021673",-0.731534230315743,0.477609237115099,0.978262075707395,168,-21.52,"2 17","565 586",15,"86.67%","93.33%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00022313",0.281468994635192,0.818356683608058,0.995934364227446,165,-21.57,"2 19","224 247",19,"78.95%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00022727",-0.97880598499318,0.131302130942163,0.978262075707395,170,-20.13,"2 19","100 121",17,"76.47%","94.12%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00022824",0.385988835225252,0.747720643456924,0.988061521013803,165,-21.63,"2 19","509 531",18,"77.78%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00022557",0.92088895502329,0.254929010903152,0.978262075707395,175,-23.79,"2 21","128 150",20,"80.00%","90.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00023486",0.965914266649893,0.166695097656503,0.978262075707395,157,-20.66,"2 21","21 42",20,"70.00%","85.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00023952",NA,NA,NA,159,-21.76,"2 18","205 228",18,"77.78%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00025849",-0.415698301810837,0.727074449191263,0.983664198460047,167,-21.25,"2 21","466 488",20,"75.00%","85.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00025850",0.999912402411178,0.00842644454811202,0.573710369894872,167,-21.25,"2 21","466 488",20,"75.00%","85.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00026460",0.969873849807753,0.156661872581452,0.978262075707395,170,-23.15,"2 20","798 821",20,"80.00%","85.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00026570",0.788217017117022,0.42200889135295,0.978262075707395,156,-21.85,"2 19","311 336",21,"76.19%","76.19%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00027210",-0.748372962079554,0.461670725254087,0.978262075707395,171,-21.51,"2 20","137 158",18,"77.78%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00027756",0.567738558905248,0.615636903717219,0.978262075707395,167,-22.07,"2 21","408 432",22,"77.27%","77.27%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00028488",NA,NA,NA,158,-21.5,"2 16","230 252",15,"86.67%","86.67%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00028939",0.983772891422051,0.114843051989096,0.978262075707395,161,-20.43,"2 19","526 548",18,"72.22%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00028969",NA,NA,NA,164,-22.07,"2 18","486 510",19,"78.95%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00029526",0.995631543626943,0.0595274595667544,0.978262075707395,165,-22.16,"2 18","671 692",16,"81.25%","87.50%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00030571",0.797113558393705,0.412718390938479,0.978262075707395,171,-22.05,"2 18","760 780",16,"93.75%","93.75%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00032466",-0.731534230315743,0.477609237115099,0.978262075707395,173,-23.9,"2 20","216 236",18,"88.89%","88.89%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00032611",0.983736278603019,0.114972890636881,0.978262075707395,164,-20.27,"2 21","526 545",19,"84.21%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00033195",NA,NA,NA,168,-20.31,"2 21","280 301",19,"73.68%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00033393",0.93047493657452,0.238789218718263,0.978262075707395,162,-20.49,"2 20","569 592",20,"75.00%","80.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00033558",NA,NA,NA,165,-20.97,"2 21","838 857",19,"78.95%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00034046",0.956227319072805,0.189057429551567,0.978262075707395,168,-20.46,"2 20","231 255",21,"85.71%","85.71%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00034247",0.41483709974355,0.727677130015268,0.983812226334838,188,-30.51,"2 21","896 917",19,"89.47%","94.74%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00034661",-0.991834912872538,0.0814088238192942,0.978262075707395,159,-20.58,"2 21","127 149",20,"70.00%","80.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00035786",0.730453821746963,0.47861718852703,0.978262075707395,169,-20.19,"2 18","160 181",16,"81.25%","93.75%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00036849",0.404710007324342,0.734744933484876,0.985794827088676,166,-21.8,"2 21","711 731",19,"73.68%","89.47%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00037594",-0.345127040693983,0.775671655625907,0.992476593270171,173,-24.25,"2 18","893 914",16,"87.50%","93.75%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00036952",0.464912017104023,0.692171910037306,0.978262075707395,162,-20.27,"2 19","74 95",17,"76.47%","82.35%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00038875",0.99912526170216,0.0266296742754265,0.887027605960946,171,-23.07,"2 21","935 957",20,"80.00%","85.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00039646",0.230629505354438,0.851842931319755,0.995934364227446,157,-23.65,"2 21","971 999",26,"73.08%","73.08%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00039962",NA,NA,NA,157,-22.15,"2 21","443 464",20,"75.00%","80.00%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00040871",0.592237691350604,0.596489301308638,0.978262075707395,169,-21.02,"2 18","651 672",16,"87.50%","87.50%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00040976",0.579775643599726,0.606280398301717,0.978262075707395,173,-21.62,"2 18","961 982",16,"87.50%","93.75%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00041049",0.998453622764511,0.0354086057088602,0.909359886114279,169,-20.66,"2 18","804 825",16,"87.50%","87.50%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00041784",-0.720683985836707,0.487655772417912,0.978262075707395,170,-20.6,"2 21","342 362",19,"84.21%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00042318",NA,NA,NA,166,-21.63,"2 21","573 593",19,"78.95%","84.21%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00042974",-0.509237172674059,0.659855205035417,0.978262075707395,174,-20.64,"2 19","859 880",17,"82.35%","94.12%","5UTR","peve-mir-novel-19"
"Cluster_8634","Peve_00044553",0.983516448487543,0.115749436725452,0.978262075707395,157,-21.18,"2 18","103 124",16,"68.75%","87.50%","5UTR","peve-mir-novel-19"
"Cluster_8884","Peve_00000771",-0.984439535435929,0.112453031005175,0.978262075707395,155,-20.71,"2 12","14 34",10,"100.00%","100.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00000770",-0.970500971966687,0.155014527442118,0.978262075707395,155,-20.71,"2 12","14 34",10,"100.00%","100.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00001054",-0.312235126052594,0.797844652119919,0.995934364227446,154,-20.09,"2 20","684 701",18,"77.78%","83.33%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00002001",-0.239653524656105,0.845932310922818,0.995934364227446,155,-20.01,"2 12","862 882",10,"100.00%","100.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00002007",NA,NA,NA,149,-20.97,"2 20","477 501",22,"63.64%","77.27%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00002662",-0.709043287101238,0.498254136015962,0.978262075707395,174,-28.76,"2 19","796 816",17,"82.35%","94.12%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00002839",-0.9473347077131,0.207530563699729,0.978262075707395,165,-21.12,"2 19","518 539",18,"77.78%","88.89%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00004929",-0.769485830885051,0.441025118405088,0.978262075707395,154,-21.81,"2 20","374 395",19,"63.16%","84.21%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00004930",0.162337594809896,0.896193281015589,0.999448381576871,154,-21.81,"2 20","374 395",19,"63.16%","84.21%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00005177",-0.993157225684681,0.0745176565453628,0.978262075707395,164,-22.67,"2 18","606 628",18,"77.78%","88.89%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00005969",NA,NA,NA,153,-20.93,"2 20","457 479",20,"65.00%","85.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00006360",NA,NA,NA,172,-20.86,"2 18","925 946",17,"88.24%","94.12%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00006152",-0.92018455743218,0.256076912255551,0.978262075707395,166,-22.08,"2 20","832 853",19,"78.95%","84.21%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00006778",-0.974579324403798,0.143851033984601,0.978262075707395,167,-23.71,"2 20","821 841",18,"66.67%","94.44%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00006972",0.340233020503664,0.778988093671919,0.993239512438958,150,-22.39,"2 20","735 757",20,"60.00%","80.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00008046",NA,NA,NA,161,-20.47,"2 20","228 251",21,"71.43%","85.71%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00008047",-0.936970683851746,0.227234543409307,0.978262075707395,161,-20.47,"2 20","228 251",21,"71.43%","85.71%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00010109",0.195666758587174,0.874625817801006,0.997476741937264,153,-20.49,"2 20","814 837",21,"71.43%","76.19%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00010007",NA,NA,NA,162,-24.98,"2 20","39 62",21,"71.43%","80.95%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00010247",-0.987001970546152,0.10275558085586,0.978262075707395,154,-20.09,"2 20","290 307",18,"77.78%","83.33%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00010842",NA,NA,NA,166,-21.28,"2 20","460 483",21,"76.19%","80.95%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00012461",-0.985925883548413,0.106934137164324,0.978262075707395,154,-20.67,"2 20","81 103",20,"65.00%","80.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00012641",-0.947118896471404,0.207959151134339,0.978262075707395,155,-20.43,"2 18","610 632",18,"72.22%","88.89%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00012846",-0.980896649722505,0.124636056032984,0.978262075707395,162,-23.81,"2 15","219 239",13,"84.62%","100.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00013037",-0.990874293895798,0.0860714628347162,0.978262075707395,156,-20.62,"2 18","298 319",17,"70.59%","88.24%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00013242",0.745028044552036,0.464872135560686,0.978262075707395,167,-22.14,"2 20","486 506",18,"72.22%","88.89%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00013541",-0.947118896471403,0.20795915113434,0.978262075707395,161,-21.36,"2 19","895 919",21,"76.19%","76.19%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00014118",-0.979854752588585,0.128000955661518,0.978262075707395,168,-22.56,"2 17","786 806",15,"86.67%","93.33%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00014126",-0.97705540171245,0.136637295734894,0.978262075707395,160,-21.74,"2 18","771 792",17,"76.47%","88.24%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00014276",NA,NA,NA,154,-20.18,"2 20","376 398",20,"70.00%","75.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00014666",-0.653058515325958,0.546971114156543,0.978262075707395,150,-20.85,"2 20","271 295",22,"59.09%","77.27%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00014823",NA,NA,NA,165,-22.6,"2 14","219 239",12,"100.00%","100.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00015062",-0.964747457491458,0.169540906942101,0.978262075707395,153,-20.46,"2 20","572 594",20,"70.00%","80.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00015452",NA,NA,NA,166,-24.78,"2 20","419 441",20,"70.00%","90.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00016035",-0.0452043849628163,0.971212184707492,0.999448381576871,155,-20.01,"2 12","151 171",10,"100.00%","100.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00016127",NA,NA,NA,158,-21.32,"2 20","57 81",22,"68.18%","77.27%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00016450",-0.947118896471404,0.207959151134339,0.978262075707395,157,-20.85,"2 20","464 483",18,"66.67%","88.89%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00016805",0.743638094106038,0.466197172009016,0.978262075707395,164,-20.88,"2 20","842 860",18,"83.33%","83.33%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00018258",NA,NA,NA,173,-24.03,"2 20","513 532",18,"83.33%","94.44%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00020369",NA,NA,NA,166,-23.75,"2 20","555 577",20,"75.00%","85.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00021083",-0.781486660907788,0.428923389689948,0.978262075707395,154,-20.09,"2 20","827 844",18,"77.78%","83.33%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00021857",0.482423351924379,0.679513389789296,0.978262075707395,162,-20.88,"2 17","601 620",15,"86.67%","93.33%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00023144",-0.795582754701038,0.414329633456707,0.978262075707395,158,-21.52,"2 15","709 729",13,"76.92%","100.00%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00023433",-0.996600418446106,0.0525086635251301,0.965318571973143,154,-21.02,"2 20","468 492",22,"68.18%","72.73%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00024343",NA,NA,NA,173,-21.25,"2 19","279 300",18,"88.89%","88.89%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00026145",0.997253647308052,0.047192471195222,0.941791888778827,153,-20.15,"2 20","649 673",22,"68.18%","77.27%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00027023",-0.573144908828194,0.611446419213155,0.978262075707395,175,-21.58,"2 20","190 210",18,"83.33%","88.89%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00027133",-0.750081043848819,0.460028903933372,0.978262075707395,154,-20.09,"2 20","166 183",18,"77.78%","83.33%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00027097",0.57919791843343,0.606731686117287,0.978262075707395,153,-20.81,"2 20","84 108",22,"68.18%","77.27%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00027474",NA,NA,NA,159,-23.05,"2 20","925 945",18,"72.22%","77.78%","5UTR","peve-mir-novel-20"
"Cluster_8884","Peve_00027488",NA,NA,NA,166,-21.65,"2 20","784 806",20,"75.00%","85.00%","5UTR","peve-mir-novel-20"
