# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "../output/01.6-Ptuh-lncRNA-pipeline/Ptuh_lncRNA_for_fc.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam
lncRNA_15080	Pocillopora_meandrina_HIv1___Sc0000040	742459	750240	+	7782	331	1366	459	1776	975
lncRNA_15081	Pocillopora_meandrina_HIv1___Sc0000040	765452	770132	+	4681	35.50	524.07	30	274.63	18.00
lncRNA_15082	Pocillopora_meandrina_HIv1___Sc0000040	848988	853877	+	4890	0	2.33	88.33	501.67	9.75
lncRNA_15083	Pocillopora_meandrina_HIv1___Sc0000040	892159	892627	+	469	5	0	75	0	13
lncRNA_15084	Pocillopora_meandrina_HIv1___Sc0000040	939659	940975	+	1317	126	65.33	1172.51	387.00	136
lncRNA_15085	Pocillopora_meandrina_HIv1___Sc0000040	957379	958743	+	1365	222.50	36.33	249.50	251.00	95.50
lncRNA_15086	Pocillopora_meandrina_HIv1___Sc0000040	959962	963088	+	3127	148.62	19.33	100.71	94.17	14.50
lncRNA_15087	Pocillopora_meandrina_HIv1___Sc0000040	961298	968075	+	6778	71.79	22.17	133.83	89.73	24.83
lncRNA_15088	Pocillopora_meandrina_HIv1___Sc0000040	970701	971235	+	535	4	8	146.50	116.50	10
lncRNA_15089	Pocillopora_meandrina_HIv1___Sc0000040	989117	991180	+	2064	6	46.67	47.50	50	9
lncRNA_15090	Pocillopora_meandrina_HIv1___Sc0000040	991915	992962	+	1048	9	81.33	57.50	36	2.00
lncRNA_15091	Pocillopora_meandrina_HIv1___Sc0000040	993377	996881	+	3505	13	40.33	117.08	73.67	0
lncRNA_15092	Pocillopora_meandrina_HIv1___Sc0000040	1103166	1105486	+	2321	1.50	1.50	294.50	93	151.75
lncRNA_15093	Pocillopora_meandrina_HIv1___Sc0000040	1103166	1105486	+	2321	1.50	1.50	294.50	93	151.75
lncRNA_15094	Pocillopora_meandrina_HIv1___Sc0000040	1116981	1118706	+	1726	285.50	52	461.00	207.50	42.00
lncRNA_15095	Pocillopora_meandrina_HIv1___Sc0000040	1120356	1130719	+	10364	133.42	116.24	308.81	202.39	108.88
lncRNA_15096	Pocillopora_meandrina_HIv1___Sc0000040	1146482	1150330	+	3849	518	39.50	299.25	263.00	3
lncRNA_15097	Pocillopora_meandrina_HIv1___Sc0000040	1196776	1201418	+	4643	131.83	11.33	156.50	102	23
lncRNA_15098	Pocillopora_meandrina_HIv1___Sc0000040	1234898	1235876	+	979	11	2.00	79.42	25.50	14
lncRNA_15099	Pocillopora_meandrina_HIv1___Sc0000040	1252789	1258240	+	5452	17	9.50	135.00	52	235.25
lncRNA_15100	Pocillopora_meandrina_HIv1___Sc0000040	1277699	1278098	+	400	0	22	71.50	1	9
lncRNA_15101	Pocillopora_meandrina_HIv1___Sc0000040	1278797	1279437	+	641	0	0	55.50	53	0
lncRNA_15102	Pocillopora_meandrina_HIv1___Sc0000040	1311234	1312692	+	1459	28	0	203	26.50	51
lncRNA_15103	Pocillopora_meandrina_HIv1___Sc0000040	1333122	1334863	+	1742	91.64	70.53	41.14	66.64	11.48
lncRNA_15104	Pocillopora_meandrina_HIv1___Sc0000040	1341898	1342875	+	978	21.02	30.94	2.61	34.72	175.07
lncRNA_15105	Pocillopora_meandrina_HIv1___Sc0000040	1453816	1455027	+	1212	4	13.10	95.30	0	7
lncRNA_15106	Pocillopora_meandrina_HIv1___Sc0000040	1632492	1638516	+	6025	273.51	44.91	138.88	110.92	230.39
lncRNA_15107	Pocillopora_meandrina_HIv1___Sc0000040	1632512	1635134	+	2623	209.18	41.05	134.38	109.92	202.72
lncRNA_15108	Pocillopora_meandrina_HIv1___Sc0000040	1632512	1647346	+	14835	278.01	116.42	211.65	159.42	252.49
lncRNA_15109	Pocillopora_meandrina_HIv1___Sc0000040	1649242	1654377	+	5136	127.34	272.90	220.09	217.06	910.26
lncRNA_15110	Pocillopora_meandrina_HIv1___Sc0000040	1649779	1654377	+	4599	76.62	62.57	47.40	13.18	508.33
lncRNA_15111	Pocillopora_meandrina_HIv1___Sc0000040	1671491	1680655	+	9165	360.01	157.41	43.36	174.43	701.30
lncRNA_15112	Pocillopora_meandrina_HIv1___Sc0000040	1671503	1685405	+	13903	363.26	1038.72	892.79	735.20	1059.14
lncRNA_15113	Pocillopora_meandrina_HIv1___Sc0000040	1672109	1692797	+	20689	134.66	985.62	909.57	638.50	973.59
lncRNA_15114	Pocillopora_meandrina_HIv1___Sc0000040	1690424	1694755	+	4332	3.05	40.45	16.57	28.07	303.88
lncRNA_15115	Pocillopora_meandrina_HIv1___Sc0000040	1738723	1739605	+	883	77	11	9	26	0
lncRNA_15116	Pocillopora_meandrina_HIv1___Sc0000040	1752726	1756289	+	3564	396	46.50	329	285	86
lncRNA_15117	Pocillopora_meandrina_HIv1___Sc0000040	1859235	1860136	+	902	0	68.50	12	6	18
lncRNA_15118	Pocillopora_meandrina_HIv1___Sc0000040	1865082	1866197	+	1116	127.36	88.38	133.50	82.37	85.24
lncRNA_15119	Pocillopora_meandrina_HIv1___Sc0000040	1878913	1903796	+	24884	944.27	1203.87	165.12	1441.66	487.67
lncRNA_15120	Pocillopora_meandrina_HIv1___Sc0000040	1896783	1903796	+	7014	252.44	780.97	10.62	248.17	22.67
lncRNA_15121	Pocillopora_meandrina_HIv1___Sc0000040	1896787	1919718	+	22932	475.28	2309.27	135.71	456.96	69.67
lncRNA_15122	Pocillopora_meandrina_HIv1___Sc0000040	2053373	2054326	+	954	3885.57	9447.59	334.93	2397.15	129
lncRNA_15123	Pocillopora_meandrina_HIv1___Sc0000040	1958146	1959032	+	887	15	6	7	0	24
lncRNA_15124	Pocillopora_meandrina_HIv1___Sc0000040	2004901	2005912	+	1012	59.26	27.80	59.03	43.47	52.94
lncRNA_15125	Pocillopora_meandrina_HIv1___Sc0000040	2084555	2086228	+	1674	0	260.50	22	88	129
lncRNA_15126	Pocillopora_meandrina_HIv1___Sc0000040	2107570	2135724	+	28155	2094.17	2974.72	159.38	2427.00	925.50
lncRNA_15127	Pocillopora_meandrina_HIv1___Sc0000040	2189451	2189729	+	279	0	34	0	29	0
lncRNA_15128	Pocillopora_meandrina_HIv1___Sc0000040	2281864	2282464	+	601	10	0	74	2	10
lncRNA_15129	Pocillopora_meandrina_HIv1___Sc0000040	191893	192210	+	318	0	30	16	0	0
lncRNA_15130	Pocillopora_meandrina_HIv1___Sc0000040	612361	612664	+	304	8	29	15	34	0
lncRNA_15131	Pocillopora_meandrina_HIv1___Sc0000040	615740	616508	+	769	24	12	28	52	12
lncRNA_15132	Pocillopora_meandrina_HIv1___Sc0000040	619818	620121	+	304	0	9	32	30	1
lncRNA_15133	Pocillopora_meandrina_HIv1___Sc0000040	623304	624258	+	955	10	4	2	62	56
lncRNA_15134	Pocillopora_meandrina_HIv1___Sc0000040	641319	641632	+	314	0	0	48	0	0
lncRNA_15135	Pocillopora_meandrina_HIv1___Sc0000040	670089	670348	+	260	0	0	0	21	0
lncRNA_15136	Pocillopora_meandrina_HIv1___Sc0000040	685831	687297	+	1467	25.24	36.39	31.83	55.06	76.88
lncRNA_15137	Pocillopora_meandrina_HIv1___Sc0000040	699261	699496	+	236	0	22	0	0	0
lncRNA_15138	Pocillopora_meandrina_HIv1___Sc0000040	711659	711989	+	331	2	20	10	46	8
lncRNA_15139	Pocillopora_meandrina_HIv1___Sc0000040	715201	715815	+	615	0	16	69	55	1
lncRNA_15140	Pocillopora_meandrina_HIv1___Sc0000040	717607	717921	+	315	0	24	14	41	0
lncRNA_15141	Pocillopora_meandrina_HIv1___Sc0000040	721066	721295	+	230	0	2	0	18	0
lncRNA_15142	Pocillopora_meandrina_HIv1___Sc0000040	727248	727533	+	286	0	4	9	35	0
lncRNA_15143	Pocillopora_meandrina_HIv1___Sc0000040	750794	751174	+	381	0	3	17	57	11
lncRNA_15144	Pocillopora_meandrina_HIv1___Sc0000040	794701	794964	+	264	0	0	0	0	16
lncRNA_15145	Pocillopora_meandrina_HIv1___Sc0000040	795233	795806	+	574	41	9	65	18	0
lncRNA_15146	Pocillopora_meandrina_HIv1___Sc0000040	796100	796337	+	238	2	0	11	8	26
lncRNA_15147	Pocillopora_meandrina_HIv1___Sc0000040	798646	799586	+	941	17	66	103	132	0
lncRNA_15148	Pocillopora_meandrina_HIv1___Sc0000040	806329	806636	+	308	13	20	33	27	0
lncRNA_15149	Pocillopora_meandrina_HIv1___Sc0000040	1412144	1412350	+	207	0	0	23	0	0
lncRNA_15150	Pocillopora_meandrina_HIv1___Sc0000040	1509928	1510309	+	382	0	51	27	44	0
lncRNA_15151	Pocillopora_meandrina_HIv1___Sc0000040	1740508	1740929	+	422	0	15	10	22	20
lncRNA_15152	Pocillopora_meandrina_HIv1___Sc0000040	1864606	1864826	+	221	0	1	1	25.74	0
lncRNA_15153	Pocillopora_meandrina_HIv1___Sc0000040	1867356	1867659	+	304	18.85	19.74	32.06	29.26	2.88
lncRNA_15154	Pocillopora_meandrina_HIv1___Sc0000040	2166791	2167076	+	286	0	18	19	7	0
lncRNA_15155	Pocillopora_meandrina_HIv1___Sc0000040	2168872	2169142	+	271	0	0	0	34	0
lncRNA_15156	Pocillopora_meandrina_HIv1___Sc0000040	2202380	2202924	+	545	0	3	8	0	30.00
lncRNA_15157	Pocillopora_meandrina_HIv1___Sc0000040	2235784	2236014	+	231	4	17	9	31.33	2
lncRNA_15158	Pocillopora_meandrina_HIv1___Sc0000040	2236908	2237230	+	323	0	0	35	0	0
lncRNA_15159	Pocillopora_meandrina_HIv1___Sc0000040	2244133	2244390	+	258	0	0	28	0	0
lncRNA_15160	Pocillopora_meandrina_HIv1___Sc0000040	2246295	2246553	+	259	0	34.50	32	9	0
lncRNA_15161	Pocillopora_meandrina_HIv1___Sc0000040	2258691	2259206	+	516	0	33	2	1	0
lncRNA_15162	Pocillopora_meandrina_HIv1___Sc0000040	2260193	2260991	+	799	6	71.50	14	23	0
lncRNA_15163	Pocillopora_meandrina_HIv1___Sc0000040	2263001	2264339	+	1339	1	13	15	2	71.00
lncRNA_15164	Pocillopora_meandrina_HIv1___Sc0000040	2269230	2269599	+	370	2	57	18	31	0
lncRNA_15165	Pocillopora_meandrina_HIv1___Sc0000040	2271817	2272533	+	717	23	51	26	49	0
lncRNA_15166	Pocillopora_meandrina_HIv1___Sc0000040	2273881	2274128	+	248	0	2.00	33.50	13.50	29.60
lncRNA_15167	Pocillopora_meandrina_HIv1___Sc0000040	2293262	2293562	+	301	0	1	4	26	0
lncRNA_15168	Pocillopora_meandrina_HIv1___Sc0000040	2298959	2299245	+	287	0	29	14	13	0
lncRNA_15169	Pocillopora_meandrina_HIv1___Sc0000040	2308117	2308778	+	662	2	26	49	76	4
lncRNA_15170	Pocillopora_meandrina_HIv1___Sc0000040	2309764	2310022	+	259	0	18	0	0	0
lncRNA_15171	Pocillopora_meandrina_HIv1___Sc0000040	2356175	2356424	+	250	0	4	0	18	0
lncRNA_15172	Pocillopora_meandrina_HIv1___Sc0000040	2413364	2413814	+	451	0	3	0	0	27
lncRNA_15173	Pocillopora_meandrina_HIv1___Sc0000040	2418282	2418549	+	268	0	11.17	1.43	42.83	1.67
lncRNA_15174	Pocillopora_meandrina_HIv1___Sc0000040	2421287	2421653	+	367	0	13	35	0	5
lncRNA_15175	Pocillopora_meandrina_HIv1___Sc0000040	2442755	2443286	+	532	39	21.83	22.50	29.25	3
lncRNA_15176	Pocillopora_meandrina_HIv1___Sc0000041	10976	14031	+	3056	8.50	26.83	16.25	7	14.75
lncRNA_15177	Pocillopora_meandrina_HIv1___Sc0000041	11040	14031	+	2992	8.50	26.83	15.25	7	14.75
lncRNA_15178	Pocillopora_meandrina_HIv1___Sc0000041	15131	16733	+	1603	25.83	37.85	90.08	10.50	0.14
lncRNA_15179	Pocillopora_meandrina_HIv1___Sc0000041	18608	18853	+	246	69.80	51.05	28.08	2	6.33
lncRNA_15180	Pocillopora_meandrina_HIv1___Sc0000041	124092	125046	+	955	0	4	47	11	0
lncRNA_15181	Pocillopora_meandrina_HIv1___Sc0000041	170846	176950	+	6105	0	3	123	0	0
lncRNA_15182	Pocillopora_meandrina_HIv1___Sc0000041	251373	255477	+	4105	41	13	144	18	0
lncRNA_15183	Pocillopora_meandrina_HIv1___Sc0000041	251394	255477	+	4084	41	13	144	18	0
lncRNA_15184	Pocillopora_meandrina_HIv1___Sc0000041	663009	673657	+	10649	208.00	75.67	211.33	158.17	42.50
lncRNA_15185	Pocillopora_meandrina_HIv1___Sc0000041	663041	673657	+	10617	208.00	75.67	211.33	158.17	42.50
lncRNA_15186	Pocillopora_meandrina_HIv1___Sc0000041	671637	673657	+	2021	71.00	29.67	44.33	53.67	4.00
lncRNA_15187	Pocillopora_meandrina_HIv1___Sc0000041	885216	893564	+	8349	959.08	377.58	752.25	726.08	451.00
lncRNA_15188	Pocillopora_meandrina_HIv1___Sc0000041	965917	966575	+	659	5	27	3	82	1
lncRNA_15189	Pocillopora_meandrina_HIv1___Sc0000041	1346077	1348384	+	2308	85.20	67.76	109.49	59.38	71.72
lncRNA_15190	Pocillopora_meandrina_HIv1___Sc0000041	1368982	1370204	+	1223	81.92	26.83	109.90	19.67	76.42
lncRNA_15191	Pocillopora_meandrina_HIv1___Sc0000041	1387227	1387831	+	605	0	4	0	0	18
lncRNA_15192	Pocillopora_meandrina_HIv1___Sc0000041	1515616	1516208	+	593	35	17	11	17	0
lncRNA_15193	Pocillopora_meandrina_HIv1___Sc0000041	1638176	1638901	+	726	1610	1055	1757	1198	814
lncRNA_15194	Pocillopora_meandrina_HIv1___Sc0000041	274311	275589	+	1279	5.50	463	538	418	497
lncRNA_15195	Pocillopora_meandrina_HIv1___Sc0000041	207534	207999	+	466	84.75	139.07	121.06	4.50	0
lncRNA_15196	Pocillopora_meandrina_HIv1___Sc0000041	270675	271585	+	911	5	177.50	37.04	91.50	15
lncRNA_15197	Pocillopora_meandrina_HIv1___Sc0000041	512173	516450	+	4278	154	218	487	408	208
lncRNA_15198	Pocillopora_meandrina_HIv1___Sc0000041	542664	544916	+	2253	505.06	425.67	280.95	825.99	91.94
lncRNA_15199	Pocillopora_meandrina_HIv1___Sc0000041	852682	855468	+	2787	79	48	77	71	67
lncRNA_15200	Pocillopora_meandrina_HIv1___Sc0000041	859735	865256	+	5522	1470.00	149	2050	510.50	231
lncRNA_15201	Pocillopora_meandrina_HIv1___Sc0000041	880633	887424	+	6792	900.75	461.75	924.25	543.25	367.50
lncRNA_15202	Pocillopora_meandrina_HIv1___Sc0000041	888097	890889	+	2793	265.58	86.08	224.75	130.58	104.50
lncRNA_15203	Pocillopora_meandrina_HIv1___Sc0000041	889359	890889	+	1531	213.91	60.58	156.75	80.58	79.00
lncRNA_15204	Pocillopora_meandrina_HIv1___Sc0000041	971674	973445	+	1772	74	196.33	95	309.50	317.33
lncRNA_15205	Pocillopora_meandrina_HIv1___Sc0000041	972344	973445	+	1102	0	47.33	23	47.50	106.33
lncRNA_15206	Pocillopora_meandrina_HIv1___Sc0000041	1017929	1036586	+	18658	639	570.33	529.99	1305.85	444.93
lncRNA_15207	Pocillopora_meandrina_HIv1___Sc0000041	1027532	1036586	+	9055	186.50	178.50	259.50	823.75	155
lncRNA_15208	Pocillopora_meandrina_HIv1___Sc0000041	1038642	1041016	+	2375	1368	1519	1062	1001	1038
lncRNA_15209	Pocillopora_meandrina_HIv1___Sc0000041	1257656	1259148	+	1493	0	41	20	41	2
lncRNA_15210	Pocillopora_meandrina_HIv1___Sc0000041	1441803	1442080	+	278	0	3	51.50	61	17
lncRNA_15211	Pocillopora_meandrina_HIv1___Sc0000041	1784440	1785890	+	1451	1185	837.50	908	855	564
lncRNA_15212	Pocillopora_meandrina_HIv1___Sc0000041	1784440	1785890	+	1451	1185	837.50	908	855	564
lncRNA_15213	Pocillopora_meandrina_HIv1___Sc0000041	20923	21175	+	253	96.79	76.25	25.30	0	0
lncRNA_15214	Pocillopora_meandrina_HIv1___Sc0000041	47754	48653	+	900	0	16	182.00	5.50	95.50
lncRNA_15215	Pocillopora_meandrina_HIv1___Sc0000041	49004	49280	+	277	0.50	9	97.00	3	82.50
lncRNA_15216	Pocillopora_meandrina_HIv1___Sc0000041	62367	63501	+	1135	82.58	109.95	133.10	12.58	208.75
lncRNA_15217	Pocillopora_meandrina_HIv1___Sc0000041	132710	133382	+	673	318.32	239.39	540.55	234.33	266.00
lncRNA_15218	Pocillopora_meandrina_HIv1___Sc0000041	305919	306184	+	266	0	0	0	0	16
lncRNA_15219	Pocillopora_meandrina_HIv1___Sc0000041	308508	308740	+	233	0	1	9	6	20
lncRNA_15220	Pocillopora_meandrina_HIv1___Sc0000041	342741	343050	+	310	6	4	27	25	4
lncRNA_15221	Pocillopora_meandrina_HIv1___Sc0000041	456408	456620	+	213	0	0	4	0	13
lncRNA_15222	Pocillopora_meandrina_HIv1___Sc0000041	474596	475385	+	790	6	15	61	21	6
lncRNA_15223	Pocillopora_meandrina_HIv1___Sc0000041	508561	509262	+	702	30	5	44	51	20
lncRNA_15224	Pocillopora_meandrina_HIv1___Sc0000041	523837	524086	+	250	11	0	31	8	6
lncRNA_15225	Pocillopora_meandrina_HIv1___Sc0000041	572576	572972	+	397	3	117	9	2	0
lncRNA_15226	Pocillopora_meandrina_HIv1___Sc0000041	674170	674382	+	213	12	4	9	14	13
lncRNA_15227	Pocillopora_meandrina_HIv1___Sc0000041	682410	682890	+	481	1	0	0	2	28
lncRNA_15228	Pocillopora_meandrina_HIv1___Sc0000041	751432	751653	+	222	0	1	1	51.92	3.33
lncRNA_15229	Pocillopora_meandrina_HIv1___Sc0000041	937964	938412	+	449	108.37	92.46	111.50	178.56	93.70
lncRNA_15230	Pocillopora_meandrina_HIv1___Sc0000041	981334	982064	+	731	51	69	11	95	14
lncRNA_15231	Pocillopora_meandrina_HIv1___Sc0000041	989227	990522	+	1296	45	281	109	459	104
lncRNA_15232	Pocillopora_meandrina_HIv1___Sc0000041	1025219	1027129	+	1911	132.50	181.50	43	91	205
lncRNA_15233	Pocillopora_meandrina_HIv1___Sc0000041	1267246	1267458	+	213	0	14	16	24	0
lncRNA_15234	Pocillopora_meandrina_HIv1___Sc0000041	1342813	1343078	+	266	62.17	86	21.50	18	0
lncRNA_15235	Pocillopora_meandrina_HIv1___Sc0000041	1347022	1347853	+	832	85.20	67.76	61.49	59.38	71.72
lncRNA_15236	Pocillopora_meandrina_HIv1___Sc0000041	1416394	1416984	+	591	28.10	63.54	41.56	7.33	7.93
lncRNA_15237	Pocillopora_meandrina_HIv1___Sc0000041	1578973	1579797	+	825	142.02	10.27	7.90	7.70	16.39
lncRNA_15238	Pocillopora_meandrina_HIv1___Sc0000041	1661927	1662573	+	647	28	49	51	64	26
lncRNA_15239	Pocillopora_meandrina_HIv1___Sc0000041	1749574	1750048	+	475	0	26	20	56	0
lncRNA_15240	Pocillopora_meandrina_HIv1___Sc0000041	1813042	1813323	+	282	5	14	27.50	49	1
lncRNA_15241	Pocillopora_meandrina_HIv1___Sc0000041	1817662	1818003	+	342	0	36	12	10	0
lncRNA_15242	Pocillopora_meandrina_HIv1___Sc0000041	1822453	1822938	+	486	6	14.67	12	16	32
lncRNA_15243	Pocillopora_meandrina_HIv1___Sc0000041	1847881	1848110	+	230	2	6	6	27	1
lncRNA_15244	Pocillopora_meandrina_HIv1___Sc0000041	1859883	1860252	+	370	16.67	20	9.50	14.50	26
lncRNA_15245	Pocillopora_meandrina_HIv1___Sc0000041	2146164	2146427	+	264	0	15	26	9	0
lncRNA_15246	Pocillopora_meandrina_HIv1___Sc0000041	2152686	2153223	+	538	7.50	76.33	91.50	92.67	0
lncRNA_15247	Pocillopora_meandrina_HIv1___Sc0000042	461411	461649	+	239	0	10	19	32	0
lncRNA_15248	Pocillopora_meandrina_HIv1___Sc0000042	525926	526538	+	613	11.03	33.67	0.42	7.04	0.08
lncRNA_15249	Pocillopora_meandrina_HIv1___Sc0000042	525926	526538	+	613	11.03	33.67	0.42	7.04	0.08
lncRNA_15250	Pocillopora_meandrina_HIv1___Sc0000042	869379	881301	+	11923	21.44	52.56	71.89	60.01	67.19
lncRNA_15251	Pocillopora_meandrina_HIv1___Sc0000042	1025750	1026243	+	494	30.00	143.83	84.50	99.42	10.50
lncRNA_15252	Pocillopora_meandrina_HIv1___Sc0000042	1044302	1065870	+	21569	535.01	585.96	312.16	535.95	254.88
lncRNA_15253	Pocillopora_meandrina_HIv1___Sc0000042	1084854	1085591	+	738	47.83	66.49	35.89	63.17	27.50
lncRNA_15254	Pocillopora_meandrina_HIv1___Sc0000042	1086216	1086837	+	622	48	42.50	12.50	26.75	17
lncRNA_15255	Pocillopora_meandrina_HIv1___Sc0000042	1428647	1428860	+	214	0	0	0	4	11
lncRNA_15256	Pocillopora_meandrina_HIv1___Sc0000042	1446629	1447594	+	966	48.17	62.25	376.75	0	60.00
lncRNA_15257	Pocillopora_meandrina_HIv1___Sc0000042	1516873	1517907	+	1035	132	83	33	42	112
lncRNA_15258	Pocillopora_meandrina_HIv1___Sc0000042	1590430	1592966	+	2537	1	18.83	108.67	148.62	72.00
lncRNA_15259	Pocillopora_meandrina_HIv1___Sc0000042	1591960	1592966	+	1007	1	1	35.17	32.58	19.50
lncRNA_15260	Pocillopora_meandrina_HIv1___Sc0000042	1609417	1611561	+	2145	8	22	143.30	206.50	112.50
lncRNA_15261	Pocillopora_meandrina_HIv1___Sc0000042	1823429	1824244	+	816	54	5	46	282	387.50
lncRNA_15262	Pocillopora_meandrina_HIv1___Sc0000042	1629870	1631696	+	1827	0	62	0.50	0	0
lncRNA_15263	Pocillopora_meandrina_HIv1___Sc0000042	1767054	1769466	+	2413	139.55	3.80	86.16	35.44	16.56
lncRNA_15264	Pocillopora_meandrina_HIv1___Sc0000042	1812684	1814276	+	1593	19	0	110	124	0
lncRNA_15265	Pocillopora_meandrina_HIv1___Sc0000042	1841343	1844445	+	3103	50.50	25	136.67	143	36
lncRNA_15266	Pocillopora_meandrina_HIv1___Sc0000042	1898393	1899132	+	740	873.37	0	0	302.72	2
lncRNA_15267	Pocillopora_meandrina_HIv1___Sc0000042	360099	361089	+	991	48.64	10.49	13.49	16.59	5.06
lncRNA_15268	Pocillopora_meandrina_HIv1___Sc0000042	453721	453934	+	214	0	9	0	24	0
lncRNA_15269	Pocillopora_meandrina_HIv1___Sc0000042	594491	596253	+	1763	0	9	35	59	8
lncRNA_15270	Pocillopora_meandrina_HIv1___Sc0000042	666882	668924	+	2043	3	25.50	117.75	40.58	24.50
lncRNA_15271	Pocillopora_meandrina_HIv1___Sc0000042	667190	668924	+	1735	3	23.50	106.75	40.58	24.50
lncRNA_15272	Pocillopora_meandrina_HIv1___Sc0000042	799277	810858	+	11582	60.45	223.50	276.62	149.26	429.13
lncRNA_15273	Pocillopora_meandrina_HIv1___Sc0000042	799295	897040	+	97746	138.62	404.45	492.15	453.77	603.11
lncRNA_15274	Pocillopora_meandrina_HIv1___Sc0000042	853653	856691	+	3039	36.91	71.15	74.22	118.62	91.37
lncRNA_15275	Pocillopora_meandrina_HIv1___Sc0000042	853689	897040	+	43352	64.00	151.75	174.52	233.84	129.77
lncRNA_15276	Pocillopora_meandrina_HIv1___Sc0000042	920827	924031	+	3205	195.44	267.67	192.25	585.89	863.22
lncRNA_15277	Pocillopora_meandrina_HIv1___Sc0000042	807758	840064	+	32307	67.91	238.28	267.58	204.01	378.56
lncRNA_15278	Pocillopora_meandrina_HIv1___Sc0000042	807793	840064	+	32272	67.91	238.28	267.58	204.01	378.56
lncRNA_15279	Pocillopora_meandrina_HIv1___Sc0000042	837108	840064	+	2957	24.62	119.96	153.45	85.43	119.58
lncRNA_15280	Pocillopora_meandrina_HIv1___Sc0000042	1353026	1354378	+	1353	297	315	477	301	350
lncRNA_15281	Pocillopora_meandrina_HIv1___Sc0000042	1446613	1488113	+	41501	284.11	413.99	981.47	26.33	171.45
lncRNA_15282	Pocillopora_meandrina_HIv1___Sc0000042	1447221	1487453	+	40233	219.11	330.49	641.72	26.33	101.70
lncRNA_15283	Pocillopora_meandrina_HIv1___Sc0000042	1448011	1488113	+	40103	218.44	328.99	581.37	26.33	105.95
lncRNA_15284	Pocillopora_meandrina_HIv1___Sc0000042	1531840	1532291	+	452	26	51	42	67	195
lncRNA_15285	Pocillopora_meandrina_HIv1___Sc0000042	1726762	1727593	+	832	71	17	81.23	13.33	40.09
lncRNA_15286	Pocillopora_meandrina_HIv1___Sc0000042	1733628	1733993	+	366	3	27.00	52.09	0	14.81
lncRNA_15287	Pocillopora_meandrina_HIv1___Sc0000042	1798537	1806714	+	8178	1389.50	4	0	118	0
lncRNA_15288	Pocillopora_meandrina_HIv1___Sc0000042	1819207	1821259	+	2053	36.56	50.18	202.62	232.63	72.91
lncRNA_15289	Pocillopora_meandrina_HIv1___Sc0000042	1822223	1822487	+	265	0	0	12	66	12
lncRNA_15290	Pocillopora_meandrina_HIv1___Sc0000042	40806	42069	+	1264	135	42	250	214	235
lncRNA_15291	Pocillopora_meandrina_HIv1___Sc0000042	148023	148322	+	300	0	8	16	40	0
lncRNA_15292	Pocillopora_meandrina_HIv1___Sc0000042	326860	327082	+	223	0	3	22	22	0
lncRNA_15293	Pocillopora_meandrina_HIv1___Sc0000042	432746	433177	+	432	0	50.33	0	126.50	5.33
lncRNA_15294	Pocillopora_meandrina_HIv1___Sc0000042	463022	463853	+	832	0	10	62	57	13
lncRNA_15295	Pocillopora_meandrina_HIv1___Sc0000042	484687	485136	+	450	51.37	15.01	46.96	21.51	78.85
lncRNA_15296	Pocillopora_meandrina_HIv1___Sc0000042	511207	511479	+	273	0	18	0	0	0
lncRNA_15297	Pocillopora_meandrina_HIv1___Sc0000042	512792	513098	+	307	0	19	15	22	0
lncRNA_15298	Pocillopora_meandrina_HIv1___Sc0000042	514370	514742	+	373	1	0	37	23	0
lncRNA_15299	Pocillopora_meandrina_HIv1___Sc0000042	515108	515359	+	252	0	0	3	2	12
lncRNA_15300	Pocillopora_meandrina_HIv1___Sc0000042	517127	517535	+	409	4	39	39	1	0
lncRNA_15301	Pocillopora_meandrina_HIv1___Sc0000042	571046	571358	+	313	0	30	0	0	0
lncRNA_15302	Pocillopora_meandrina_HIv1___Sc0000042	581307	581783	+	477	0	29	18	36	0
lncRNA_15303	Pocillopora_meandrina_HIv1___Sc0000042	631154	631645	+	492	0	8	60	0	0
lncRNA_15304	Pocillopora_meandrina_HIv1___Sc0000042	635896	636229	+	334	0	36	35	18	0
